Date,Price
2023/11/04, 2000
2023/11/04, 2000
2023/11/08, 2241.8440366972477
2023/11/16, 2000
2023/11/16, 2000
2024/01/01, 1995.8302752293578
2024/01/01, 1995.8302752293578
2024/01/04, 2100.0733944954127
2024/01/04, 2100.0733944954127
2024/02/20, 2095.9036697247707
2024/03/19, 2396.123853211009
2024/03/26, 2692.1743119266057
2024/04/18, 2692.1743119266057
2024/05/08, 2783.908256880734
2024/05/17, 2291.880733944954
2024/05/21, 2246.0137614678897
2024/05/23, 2191.8073394495414
2024/05/25, 2112.582568807339
2024/05/27, 2091.7339449541287
2024/05/27, 2020.848623853211
2024/06/20, 2237.6743119266057
2024/06/26, 2075.0550458715597
2024/07/30, 2045.8669724770643
2024/08/05, 2075.0550458715597
2024/08/11, 2009.00